title,author,genre,pages,rating,date_read,format,source,price,reread,recommend_to_friend
The Hawthorne Legacy,Jennifer Lynn Barnes,Mystery,368,4,"Jul 6, 2025",Paperback,Barnes & Noble,12.99,FALSE,TRUE
The Final Gambit,Jennifer Lynn Barnes,Mystery,368,4,"Jul 20, 2025",Paperback,Barnes & Noble,12.99,FALSE,TRUE
Malibu Rising,Taylor Jenkins Reid,Literary Fiction,369,5,"Jul 22, 2025",Hardcover,Target,19.99,FALSE,TRUE
Ninth House,Leigh Bardugo,Fantasy,458,2,"Jul 24, 2025",Paperback,Target,15.99,TRUE,FALSE
Love Her or Lose Her,Tessa Bailey,Romance,341,1,"Jul 29, 2025",Paperback,Barnes & Noble,13.99,FALSE,FALSE
Problematic Summer Romance,Ali Hazelwood,Romance,402,3,"Aug 4, 2025",Paperback,Used Book Store,8,FALSE,TRUE
His & Hers,Alice Feeney,Thriller,308,4,"Aug 5, 2025",Paperback,Barnes & Noble,14.99,FALSE,TRUE
One Italian Summer,Rebecca Serle,Contemporary Fiction,253,1,"Aug 6, 2025",Hardcover,Used Book Store,4,FALSE,FALSE
The Love Hypothesis,Ali Hazelwood,Romance,373,5,"Aug 8, 2025",Paperback,Target,14.99,FALSE,TRUE
Twisted Love,Ana Huang,Romance,360,3.5,"Aug 10, 2025",Paperback,Target,14.99,TRUE,FALSE
Every Summer After,Carley Fortune,Contemporary Fiction,336,3,"Aug 12, 2025",Paperback,Target,12.99,FALSE,TRUE
One Golden Summer,Carley Fortune,Contemporary Fiction,400,5,"Aug 15, 2025",Paperback,Barnes & Noble,17.99,FALSE,TRUE
A Court of Mist and Fury,Sarah J. Maas,Fantasy,626,4,"Aug 27, 2025",Paperback,Barnes & Noble,17.99,TRUE,TRUE
"Good Girl, Bad Blood",Holly Jackson,Mystery,417,3.5,"Aug 30, 2025",Paperback,Target,12.99,TRUE,TRUE
